Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55779209,ATE,Rilzy Adams,"Adams, Rilzy",,,,0,4.31,Rilzy Adams,Kindle Edition,56,2020,2020,3/29/2023,3/22/2023,,,read,,,,1,0
40813638,Wins & Losses,Alexandra Warren,"Warren, Alexandra",,,,0,4.54,,Kindle Edition,,2018,2018,3/29/2023,3/26/2023,,,read,,,,1,0
123182272,Compulsive (Love Struck Series Book 1),Skye Moon,"Moon, Skye",,,,0,4.65,,Kindle Edition,,2023,,3/29/2023,3/28/2023,,,read,,,,1,0
60034351,Does It Hurt?,H.D. Carlton,"Carlton, H.D.",,,,0,3.97,,Kindle Edition,432,2022,2022,,3/26/2023,currently-reading,currently-reading (#18),currently-reading,,,,1,0
123282871,Sight Unseen,Kasha Thompson,"Thompson, Kasha",,,,0,4.41,,Kindle Edition,323,2023,,3/26/2023,3/23/2023,,,read,,,,1,0
123268529,Cravings (King's Town Novella Series Book 4),Shon,"Shon, Shon",,,,0,4.43,,Kindle Edition,129,2023,,3/19/2023,3/19/2023,,,read,,,,1,0
75718893,"Yours (King's Town, #3)",Shon,"Shon, Shon",,,,0,4.52,,Kindle Edition,106,2023,2023,3/19/2023,3/19/2023,,,read,,,,1,0
63887789,"Midnight (King's Town, #2)",Shon,"Shon, Shon",,,,0,4.25,,Kindle Edition,84,2022,2022,3/19/2023,3/19/2023,,,read,,,,1,0
84943172,"The Right Move (Windy City, #2)",Liz Tomforde,"Tomforde, Liz",,,,0,4.49,Golden Boy Publishing LLC,Kindle Edition,417,2023,2023,3/19/2023,3/15/2023,,,read,,,,1,0
61630554,"His Majesty (King's Town, #1)",Shon,"Shon, Shon",,,,0,4.09,,Kindle Edition,61,2022,2022,3/19/2023,3/18/2023,,,read,,,,1,0
52656911,The Guest List,Lucy Foley,"Foley, Lucy",,,,3,3.84,William Morrow,Kindle Edition,319,2020,2020,,3/16/2023,,,read,,,,1,0
123026687,InstaLove (The One Series Duet),Danielle Allen,"Allen, Danielle",,,,0,4.57,,Kindle Edition,,2023,,3/15/2023,3/14/2023,,,read,,,,1,0
122756973,The Body Hunter,M Monique,"Monique, M",,,,0,4.63,,Kindle Edition,160,2023,,3/13/2023,3/12/2023,,,read,,,,1,0
80900631,I Wanna Be Down,AshleyNicole,"AshleyNicole, AshleyNicole",,,,0,4.8,,Kindle Edition,259,2023,,3/12/2023,3/11/2023,,,read,,,,1,0
112943384,Pharaoh: Wolf Warriors MC,K.C. Mills,"Mills, K.C.",,,,0,4.66,,Kindle Edition,308,2023,,,3/11/2023,,,read,,,,1,0
111172599,Soul Snatched,Lex. C.,"C., Lex.",,,,0,4.67,,Kindle Edition,210,2023,,3/7/2023,3/6/2023,,,read,,,,1,0
122995659,Red Roses and Regrets (The Consortium Book 1),Dandridge Monroe,"Monroe, Dandridge",Nubian FX,,,0,4.53,,Kindle Edition,,2023,,2/26/2023,2/25/2023,,,read,,,,1,0
60323722,Mister Librarian (The Mister Series Book 1),B. Love,"Love, B.",,,,0,4.52,,Kindle Edition,164,2022,,,2/25/2023,currently-reading,currently-reading (#17),currently-reading,,,,1,0
63033215,Bash: Wolf Warriors MC,K.C. Mills,"Mills, K.C.",,,,0,4.63,,Kindle Edition,233,2022,2022,2/25/2023,2/25/2023,,,read,,,,1,0
58761246,Free Game: A Foxview Heights Novel,Kema B.,"B., Kema",,,,0,4.68,,Kindle Edition,165,2021,,2/24/2023,2/23/2023,,,read,,,,1,0
61491008,I Got You,Miss Jenesequa,"Jenesequa, Miss",,,,0,4.49,,Kindle Edition,350,2022,,,2/21/2023,currently-reading,currently-reading (#16),currently-reading,,,,1,0
60386955,Meet Me Halfway (Learning to Love Series),Lilian T. James,"James, Lilian T.",,,,0,3.95,,Kindle Edition,386,2022,2022,,2/21/2023,currently-reading,currently-reading (#15),currently-reading,,,,1,0
38397708,Let Me Love You (McClain Brothers #1),Alexandria  House,"House, Alexandria",,,,0,4.49,,Kindle Edition,313,2018,2018,2/21/2023,2/17/2023,,,read,,,,1,0
58005176,Dear Amelia (Love in Seattle #1),Asia Monique,"Monique, Asia",,,,0,4.27,Alayla J. Presents,Kindle Edition,158,2021,2021,2/17/2023,2/14/2023,,,read,,,,1,0
61431600,"Jasper Vale (The Edens, #4)",Devney Perry,"Perry, Devney",,,,0,4.2,,Kindle Edition,354,2023,2023,,2/14/2023,currently-reading,currently-reading (#14),currently-reading,,,,1,0
59730242,"Garnet Flats (The Edens, #3)",Devney Perry,"Perry, Devney",,,,0,3.82,Devney Perry LLC,Kindle Edition,346,2022,2022,2/14/2023,2/13/2023,,,read,,,,1,0
59114267,"Juniper Hill (The Edens, #2)",Devney Perry,"Perry, Devney",,,,0,4.19,,Kindle Edition,326,2022,2022,2/13/2023,2/12/2023,,,read,,,,1,0
38236478,Love Notes (Equilibrium #1),Christina C. Jones,"Jones, Christina C.",,,,0,4.59,,Kindle Edition,262,2018,2018,,2/12/2023,currently-reading,currently-reading (#13),currently-reading,,,,1,0
52276459,"The Takeover (The Miles High Club, #2)",T.L. Swan,"Swan, T.L.",,,,0,4.44,Montlake,Kindle Edition,477,2020,2020,,2/12/2023,,,read,,,,1,0
58885776,The Dead Romantics,Ashley Poston,"Poston, Ashley",,0593336488,9780593336489,2,4,Berkley ,Paperback,368,2022,2022,2/11/2023,2/6/2023,,,read,,,,1,0
45156972,"The Stopover (The Miles High Club, #1)",T.L. Swan,"Swan, T.L.",,,,0,4.06,Montlake Romance,Kindle Edition,525,2019,2019,2/11/2023,2/9/2023,,,read,,,,1,0
59562844,"Ignite (Cloverleigh Farms, #6)",Melanie Harlow,"Harlow, Melanie",,,,0,4.12,,Kindle Edition,342,2021,2021,,2/9/2023,currently-reading,currently-reading (#12),currently-reading,,,,1,0
95861285,Sinful Obsession (Mafia Misfits Book 5),Asia Monique,"Monique, Asia",,,,0,4.6,,Kindle Edition,225,2023,,2/8/2023,2/8/2023,,,read,,,,1,0
62795287,Sinful Desire (Mafia Misfits Book 4),Asia Monique,"Monique, Asia",,,,0,4.57,,Kindle Edition,,2022,,,2/8/2023,,,read,,,,1,0
61373896,Sinful Redemption,Asia Monique,"Monique, Asia",,,,0,4.59,,Kindle Edition,310,2022,,2/7/2023,2/7/2023,,,read,,,,1,0
60840175,"Sinful Vow (Mafia Misfits, #1)",Asia Monique,"Monique, Asia",,,,0,4.26,,Kindle Edition,268,2022,2022,2/7/2023,2/7/2023,,,read,,,,1,0
68691095,"Where Love Blooms (A Jareau Family Novel, #1)",Kimberly   Brown,"Brown, Kimberly",,,,0,4.75,B. Love Publications,Kindle Edition,284,2022,,2/7/2023,2/5/2023,,,read,,,,1,0
48844619,"The Kingmaker (All the King's Men, #1)",Kennedy Ryan,"Ryan, Kennedy",,,,0,4.12,Amazon Digital Services,Kindle Edition,319,2019,2019,,2/5/2023,currently-reading,currently-reading (#11),currently-reading,,,,1,0
71639384,Terms of Inheritance:  (Seaside Mergers book 1),Adorabol Huckleby-Ordaz,"Huckleby-Ordaz, Adorabol",,,,0,4.12,,ebook,,2023,,2/5/2023,2/4/2023,,,read,,,,1,0
59539661,For Better or Worse,Jessie  Marie,"Marie, Jessie",,,,0,3.77,Jessie Marie Publications LLC,Kindle Edition,265,2021,,,1/29/2023,currently-reading,currently-reading (#10),currently-reading,,,,1,0
75271859,Fell For The Wrong One,Tay Mo'Nae,"Mo'Nae, Tay",,,,0,4.61,,Kindle Edition,,2023,,1/29/2023,1/25/2023,,,read,,,,1,0
57047870,The Driver's Seat: A McNeal Love Story (The McNeal Love Stories Book 1),Shameka S. Erby,"Erby, Shameka S.",,,,0,4.18,,Kindle Edition,,2021,,1/28/2023,1/27/2023,,,read,,,,1,0
57369750,Just Please Me (Westbrooke Angels #1),Deanna Grey,"Grey, Deanna",,,,0,3.97,,Kindle Edition,,2021,,1/27/2023,1/26/2023,,,read,,,,1,0
31195878,"Love at First Spite (The Spite Series, #1)",Alexandra Warren,"Warren, Alexandra",,,,0,4.42,,Kindle Edition,274,2016,2016,1/26/2023,1/25/2023,,,read,,,,1,0
59715550,Alight (The Firecracker Cousins Book 1),A.H. Cunningham,"Cunningham, A.H.",,,,0,3.91,,Kindle Edition,,2021,,1/25/2023,1/22/2023,,,read,,,,1,0
84280645,"Plié (Wicked Moves, #1)",A.H. Cunningham,"Cunningham, A.H.",,,,0,4.36,A.H. Cunningham,Kindle Edition,317,2023,,1/24/2023,1/23/2023,,,read,,,,1,0
53570669,Will You Be Mine? (Falling Like A Johnson #2),Rilzy Adams,"Adams, Rilzy",,,,0,3.96,,Kindle Edition,133,2020,2017,,1/22/2023,currently-reading,currently-reading (#9),currently-reading,,,,1,0
59990438,The Replacements: A Grumpy Boss Romance,Shae Sanders,"Sanders, Shae",,,,0,4.38,Pink Sands,Kindle Edition,261,2022,2022,1/22/2023,1/22/2023,,,read,,,,1,0
56148918,Forgive,Nikki Blaire,"Blaire, Nikki",,,,0,4.47,,Kindle Edition,,2020,,1/22/2023,1/21/2023,,,read,,,,1,0
48842559,Fortress (Forde Family Series Book 2),Nikki Blaire,"Blaire, Nikki",,,,0,4.66,Hollyville Publishing,Kindle Edition,467,2019,,1/21/2023,1/21/2023,,,read,,,,1,0
36621528,"Fortunate (Forde Family, #1)",Nikki Blaire,"Blaire, Nikki",,,,0,4.54,Hollyville Publishing,Kindle Edition,301,2017,,1/20/2023,1/19/2023,,,read,,,,1,0
58527403,"Magnolia Parks (Magnolia Parks Universe, #1)",Jessa Hastings,"Hastings, Jessa",,,,0,3.89,,Kindle Edition,423,2021,2021,,1/16/2023,currently-reading,currently-reading (#8),currently-reading,,,,1,0
62066656,Accidentally Amy,Lynn Painter,"Painter, Lynn",,,,0,3.6,,Kindle Edition,244,2022,2022,,1/15/2023,currently-reading,currently-reading (#7),currently-reading,,,,1,0
51479768,Sensitivity,Grey Huffington,"Huffington, Grey",,,,3,4.65,Grey & Company,Kindle Edition,112,2020,,1/13/2023,1/12/2023,,,read,,,,1,0
60736788,"Love On Replay (The Berotte Family, #1)",Monica Walters,"Walters, Monica",,,,0,4.66,,Kindle Edition,,2022,,,1/12/2023,currently-reading,currently-reading (#6),currently-reading,,,,1,0
75653594,The Last Ring,Cassandra B,"B, Cassandra",The Editing Boutique,,,0,4.69,,Kindle Edition,,2023,,,1/12/2023,currently-reading,currently-reading (#5),currently-reading,,,,1,0
63892037,Team Players (Mendell Hawks #2),Deanna Grey,"Grey, Deanna",,,,0,3.84,,Kindle Edition,323,2022,2022,1/12/2023,1/8/2023,,,read,,,,1,0
58484187,We Deserve Monuments,Jas Hammonds,"Hammonds, Jas",,1250816556,9781250816559,0,4.35,Roaring Brook Press,Hardcover,384,2022,2022,,1/10/2023,to-read,to-read (#31),to-read,,,,0,0
33413909,The Deepest Well: Healing the Long-Term Effects of Childhood Adversity,Nadine Burke Harris,"Harris, Nadine Burke",,0544828704,9780544828704,0,4.48,Mariner Books,Hardcover,272,2018,2018,,1/9/2023,to-read,to-read (#30),to-read,,,,0,0
58214328,What My Bones Know: A Memoir of Healing from Complex Trauma,Stephanie Foo,"Foo, Stephanie",,0593238109,9780593238103,0,4.52,Ballantine Books,Hardcover,352,2022,2022,,1/9/2023,to-read,to-read (#29),to-read,,,,0,0
61221784,"Sunny Disposition (Mendell Hawks, #1)",Deanna Grey,"Grey, Deanna",,,,0,3.56,,Kindle Edition,272,2022,2022,,1/8/2023,,,read,,,,1,0
73305735,Spiked Hot Chocolate,Rilzy Adams,"Adams, Rilzy",,,,4,4.35,,Kindle Edition,86,2022,,,1/7/2023,,,read,,,,1,0
1963638,The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,"Singer, Michael A.",,1572245379,9781572245372,4,4.22,New Harbinger Publications,Paperback,183,2007,2007,1/7/2023,1/1/2023,,,read,,,,1,0
59232998,You Made a Fool of Death with Your Beauty,Akwaeke Emezi,"Emezi, Akwaeke",,1982188707,9781982188702,4,3.61,Atria Books,Hardcover,288,2022,2022,1/7/2023,4/21/2022,,,read,,,,1,0
63223599,A Love That Restores,Jaimsss P.,"P., Jaimsss",,,,0,4.63,,Kindle Edition,,2022,,,1/1/2023,,,read,,,,1,0
75273123,Until You Come Back To Me: A Royal Romance (The Royals Book 2),Shameka S. Erby,"Erby, Shameka S.",,,,0,4.26,,Kindle Edition,,2022,,,12/31/2022,,,read,,,,1,0
63119196,Hooked On Your Love: A Royal Romance (The Royals Book 1),Shameka S. Erby,"Erby, Shameka S.",,,,0,4.04,,Kindle Edition,,2022,,12/31/2022,12/24/2022,,,read,,,,1,0
62221702,"Tangled in Tinsel (Holidate ""ish"", #1)",Trilina Pucci,"Pucci, Trilina",,,,0,4.09,Trilina Pucci Books,Kindle Edition,286,2022,2022,,12/28/2022,,,read,,,,1,0
63906537,Laike (The Eisenberg Effect Book 3),Grey Huffington,"Huffington, Grey",,,,0,4.62,,Kindle Edition,428,2022,,12/26/2022,12/24/2022,,,read,,,,2,0
60040033,"Consider Me (Playing For Keeps, #1)",Becka Mack,"Mack, Becka",,,,0,4.03,,ebook,462,2022,,,12/24/2022,currently-reading,currently-reading (#4),currently-reading,,,,1,0
61835609,Somebody Somewhere,J. Nichole,"Nichole, J.",,,,0,4.31,Not The Last Page,Kindle Edition,,2022,,,12/24/2022,currently-reading,currently-reading (#3),currently-reading,,,,1,0
61131117,Capturing the Soul of a Boss,Tatum James,"James, Tatum",,,,0,4.54,,Kindle Edition,,2022,,,12/24/2022,,,read,,,,1,0
62602858,Snatching the Heart of a Boss,Tatum James,"James, Tatum",,,,0,4.67,,Kindle Edition,,2022,,,12/24/2022,,,read,,,,1,0
58925247,Say You Swear,Meagan Brandy,"Brandy, Meagan",,,,0,4.4,,Paperback,681,2022,2022,,12/24/2022,,,read,,,,1,0
61269770,The Prodigy 2: Rise of a Queen (Family Ties),Shae Sanders,"Sanders, Shae",,,,0,4.42,,Kindle Edition,167,2022,,,12/24/2022,,,read,,,,1,0
61204343,The Prodigy (Family Ties Book 1),Shae Sanders,"Sanders, Shae",,,,0,4.62,,Kindle Edition,258,2022,,,12/24/2022,,,read,,,,1,0
58536229,"A Heart's Rejection: Loving a Black Mafia Princess (Black Mayhem Mafia Saga, #3)",B. Love,"Love, B.",,,,0,4.78,,Kindle Edition,220,2021,,,12/24/2022,,,read,,,,1,0
58307162,"Her Deep Reverence: Pregnant by a Black Mafia Don (Black Mayhem Mafia Saga, #2)",B. Love,"Love, B.",,,,0,4.65,,Kindle Edition,,2021,2021,,12/24/2022,,,read,,,,1,0
58083768,"In His Possession: Bought by a Black Mafia Prince (Black Mayhem Mafia Saga, #1)",B. Love,"Love, B.",,,,0,4.59,,Kindle Edition,,2021,,,12/24/2022,,,read,,,,1,0
58180442,"Can't Catch Me (Houston Skyhawks, #1)",Alexandra Warren,"Warren, Alexandra",,,,0,4.54,,Kindle Edition,266,2021,,,12/24/2022,,,read,,,,1,0
62818480,Lyric (The Eisenberg Effect Book 2),Grey Huffington,"Huffington, Grey",,,,0,4.44,,Kindle Edition,496,2022,,,12/24/2022,,,read,,,,1,0
61195387,Tis the Season for Revenge,Morgan  Elizabeth,"Elizabeth, Morgan",,,,0,4,,Kindle Edition,304,2022,2022,12/14/2022,12/8/2022,,,read,,,,1,0
51763868,Deception: Orphan Series Book Three,Dandridge Monroe,"Monroe, Dandridge",Nubian FX,,,0,4.56,KM Media LLC,Kindle Edition,367,2019,,12/8/2022,9/13/2022,,,read,,,,1,0
61933940,Captivated by Danger (The Danger Family #2),Endiya Carter,"Carter, Endiya",,,,0,4.75,,Kindle Edition,454,2022,,12/8/2022,11/3/2022,,,read,,,,1,0
